
440514	440500	3	district	潮南区	440000,440500,440514	广东省,汕头市,潮南区	广东省	汕头市	潮南区	116.423607	23.249798
440507	440500	3	district	龙湖区	440000,440500,440507	广东省,汕头市,龙湖区	广东省	汕头市	龙湖区	116.732015	23.373754
440511	440500	3	district	金平区	440000,440500,440511	广东省,汕头市,金平区	广东省	汕头市	金平区	116.703583	23.367071
440600	440000	2	city	佛山市	440000,440600	广东省,佛山市	广东省	佛山市		113.122717	23.028762
440607	440600	3	district	三水区	440000,440600,440607	广东省,佛山市,三水区	广东省	佛山市	三水区	112.899414	23.16504
440608	440600	3	district	高明区	440000,440600,440608	广东省,佛山市,高明区	广东省	佛山市	高明区	112.882123	22.893855
440606	440600	3	district	顺德区	440000,440600,440606	广东省,佛山市,顺德区	广东省	佛山市	顺德区	113.281826	22.75851
440604	440600	3	district	禅城区	440000,440600,440604	广东省,佛山市,禅城区	广东省	佛山市	禅城区	113.112414	23.019643
440605	440600	3	district	南海区	440000,440600,440605	广东省,佛山市,南海区	广东省	佛山市	南海区	113.145577	23.031562
441200	440000	2	city	肇庆市	440000,441200	广东省,肇庆市	广东省	肇庆市		112.472529	23.051546
441225	441200	3	district	封开县	440000,441200,441225	广东省,肇庆市,封开县	广东省	肇庆市	封开县	111.502973	23.434731
441224	441200	3	district	怀集县	440000,441200,441224	广东省,肇庆市,怀集县	广东省	肇庆市	怀集县	112.182466	23.913072
441223	441200	3	district	广宁县	440000,441200,441223	广东省,肇庆市,广宁县	广东省	肇庆市	广宁县	112.440419	23.631486
441226	441200	3	district	德庆县	440000,441200,441226	广东省,肇庆市,德庆县	广东省	肇庆市	德庆县	111.78156	23.141711
441284	441200	3	district	四会市	440000,441200,441284	广东省,肇庆市,四会市	广东省	肇庆市	四会市	112.695028	23.340324
441203	441200	3	district	鼎湖区	440000,441200,441203	广东省,肇庆市,鼎湖区	广东省	肇庆市	鼎湖区	112.565249	23.155822
441204	441200	3	district	高要区	440000,441200,441204	广东省,肇庆市,高要区	广东省	肇庆市	高要区	112.460846	23.027694
441202	441200	3	district	端州区	440000,441200,441202	广东省,肇庆市,端州区	广东省	肇庆市	端州区	112.472329	23.052662
441300	440000	2	city	惠州市	440000,441300	广东省,惠州市	广东省	惠州市		114.412599	23.079404
441323	441300	3	district	惠东县	440000,441300,441323	广东省,惠州市,惠东县	广东省	惠州市	惠东县	114.723092	22.983036
441322	441300	3	district	博罗县	440000,441300,441322	广东省,惠州市,博罗县	广东省	惠州市	博罗县	114.284254	23.167575
441324	441300	3	district	龙门县	440000,441300,441324	广东省,惠州市,龙门县	广东省	惠州市	龙门县	114.259986	23.723894
441303	441300	3	district	惠阳区	440000,441300,441303	广东省,惠州市,惠阳区	广东省	惠州市	惠阳区	114.469444	22.78851
441302	441300	3	district	惠城区	440000,441300,441302	广东省,惠州市,惠城区	广东省	惠州市	惠城区	114.413978	23.079883
440300	440000	2	city	深圳市	440000,440300	广东省,深圳市	广东省	深圳市		114.085947	22.547
440306	440300	3	district	宝安区	440000,440300,440306	广东省,深圳市,宝安区	广东省	深圳市	宝安区	113.828671	22.754741
440305	440300	3	district	南山区	440000,440300,440305	广东省,深圳市,南山区	广东省	深圳市	南山区	113.92943	22.531221
